trial,objective,block_mean,block_min,block_max,noise_scale,sp500_noise_floor,dgs10_noise_multiplier,scale_jitter,mean_jitter,regime_radius,continuation_prob,tail_prob,dgs10_tick,profile,feature_mean_gap,feature_std_gap,feature_energy_distance,median_mahalanobis,median_robust_l2,min_mahalanobis_pvalue,outlier_rate_p05,median_nearest_feature_distance
3,9.506964504302207,15,3,40,0.008951451915116858,2.373351714287843e-06,0.1,0.08343963806615212,0.04548115740570349,2520,0.7395067322080806,0.004,0.01,balanced,0.5080071761253785,0.4013977335156034,0.2362329895818409,1.2301818283395556,1.2127328833836704,0.0,1.0,0.9247044980205584
49,9.511251448838664,63,3,63,0.004218671638383418,5.6538108044531275e-05,0.1,0.01600777870650899,0.09184376577461975,1260,0.08155373825937674,0.002,0.01,balanced,0.512484300960291,0.36544536783227977,0.22160523307327984,1.241488913628439,1.379258068413436,0.0,1.0,0.9308325212847468
5,9.52108498731901,63,5,63,0.015952771997243258,4.0651842574456465e-06,0.1,0.030165856979847805,0.12402015888858908,1260,0.6409530287257883,0.004,0.01,balanced,0.531866256328546,0.3739642147907747,0.23082520775027504,1.1944483366243444,1.3210802928753185,0.0,1.0,0.9306234341660352
61,9.521767657855053,126,3,252,0.04659088702091414,5.681820107414382e-06,0.2,0.08903154668619043,0.12217606703407113,126,0.7700648898222454,0.001,0.01,balanced,0.46942464136339895,0.5021060281291161,0.19534836928188115,1.2243673893710898,1.3868005593079733,0.0,1.0,0.8188804805197131
34,9.52626511657967,20,3,20,0.017086086757541568,5.8903421803698396e-05,0.35,0.04718894147916461,0.11793910094516574,1260,0.22036616489530825,0.0005,0.01,balanced,0.5254870223422266,0.4118694179222384,0.22694833325510144,1.2128237808136595,1.2371033718652518,0.0,1.0,0.8783008960157206
10,9.56783594771115,20,3,252,0.0267655480605078,7.240394217369148e-06,0.05,0.03959438540760488,0.007800290695747437,2520,0.402202789630705,0.004,0.01,balanced,0.5648521768063267,0.39703913345869346,0.24366492354704383,1.2616820534012403,1.1947466928659245,0.0,1.0,0.9273851079403976
0,9.567848350801048,63,3,126,0.021463248542165095,1.4498166209968358e-06,0.35,0.020848306329238064,0.062045339281530734,1260,0.4021114396843268,0.001,0.01,balanced,0.44364773633692056,0.753161809813699,0.160360173256473,1.0881973932874662,1.3179419056701573,0.0,1.0,0.8627536620960734
52,9.572331693059681,20,3,252,0.003481285689976526,8.955674130381508e-06,0.0,0.0897882112787171,0.19998269699374802,2520,0.36964837431972547,0.0005,0.01,balanced,0.5456603796973886,0.5252472032865028,0.22349177498244388,1.156740949161914,1.1049143088233366,0.0,1.0,0.9150999709164122
35,9.621321080791086,20,5,252,0.0012027045154817061,1.1952027349718705e-05,0.1,0.06387127991769243,0.12918781164601134,2520,0.713391157553969,0.008,0.01,balanced,0.5541986997704752,0.5015672278092949,0.23522857173594525,1.3246023141550074,1.2567885515607748,0.0,1.0,1.0261528739450736
27,9.626979909655251,20,3,20,0.03015166359665878,2.2794431098615653e-05,0.1,0.027525995465189548,0.014460214118329895,2520,0.3208662022098882,0.0005,0.01,balanced,0.609336143720755,0.4843892938808349,0.2684624304223011,1.1562757809154922,1.1094884524840192,0.0,1.0,0.8563542172636165
